CODIGO,BARRAS,PRODUTO,UNIDADE,VENDA1,VENDA2,VENDA3,ESTOQUE,GRUPO,SUBGRUPO,RESUMO,APLICACAO,LOCAL,FABRICANTE,CODFABRICA,OBS,REFER
1054,0,.,UNID,3.50,0.00,0.00,-2,0-,0-,.,,,,,,00000000000
1055,0,.,UNID,3.50,0.00,0.00,-8,0-,0-,.,,,,,,00000000000
1660,0,.,UNID,12.00,0.00,0.00,-1,0-,0-,.,,,,,,00000000000
1661,0,.,UNID,15.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2083,0,.,UNID,8.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2113,0,.,UNID,30.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2115,0,.,UNID,69.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2116,0,.,UNID,34.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2117,0,.,UNID,10.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2118,0,.,UNID,13.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2119,0,.,UNID,58.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2122,0,.,UNID,42.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2123,0,.,UNID,0.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2132,0,.,UNID,3.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2146,0,.,UNID,3.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2148,0,.,UNID,30.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2184,0,.,UNID,0.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2185,0,.,UNID,57.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2203,0,.,UNID,12.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2211,0,.,UNID,10.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2214,0,.,UNID,26.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2218,0,.,UNID,65.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2226,0,.,UNID,13.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2245,0,.,UNID,72.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2246,0,.,UNID,0.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2268,0,.,UNID,15.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2319,0,.,UNID,4.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2332,0,.,UNID,11.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2347,0,.,UNID,18.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2351,0,.,UNID,7.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2352,0,.,UNID,7.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2353,0,.,UNID,7.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2355,0,.,UNID,10.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2356,0,.,UNID,10.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2358,0,.,UNID,18.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2359,0,.,UNID,19.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2360,0,.,UNID,0.10,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2361,0,.,UNID,0.15,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2362,0,.,UNID,0.10,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2365,0,.,UNID,0.40,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2366,0,.,UNID,0.80,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2374,0,.,UNID,25.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2375,0,.,UNID,13.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2376,0,.,UNID,18.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2377,0,.,UNID,5.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2378,0,.,UNID,6.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2379,0,.,UNID,6.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2380,0,.,UNID,22.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2381,0,.,UNID,11.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2382,0,.,UNID,18.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2383,0,.,UNID,3.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2384,0,.,UNID,50.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2385,0,.,UNID,60.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2386,0,.,UNID,378.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2387,0,.,UNID,40.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2388,0,.,UNID,135.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2389,0,.,UNID,15.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2390,0,.,UNID,15.00,0.00,0.00,0,0-,0-,.,,,,,,00000000000
2095,0,.....,UNID,15.00,0.00,0.00,0,0-,0-,.....,,,,,,00000000000
1466,0,ABAFADOR DE RUIDO,UNID,18.00,0.00,0.00,0,0-,0-,ABAFADOR RUIDO,,,,,,00000000000
1043,0,ABRAC.LAMP.FLUOR 20/40,UNID,1.00,0.00,0.00,20,0-,0-,ABRAC.FLU.20/40,,,,,,00000000000
19,0,ABRAC.LAMP.TUBOLAR 15-40,UNID,2.00,0.00,0.00,0,0-,0-,ABRAC.TUB.15/40,,,,,,00000000000
26,0,ABRAC.NYLON 150X32,EMBAL,10.00,0.00,0.00,0,0-,0-,ABRAC.150X32,,,,,,00000000000
27,0,ABRAC.NYLON 150X32 UNIDADE,UNID,0.50,0.00,0.00,0,0-,0-,ABRAC.150X32 UN,,,,,,00000000000
2174,0,ABRAC.NYLON 200-250X25 UNIDADE,UNID,0.50,0.00,0.00,0,0-,0-,ABRAC.N.200-250,,,,,,00000000000
2173,0,ABRAC.NYLON 200X25,UNID,20.00,0.00,0.00,0,0-,0-,ABRAC.N.200X25,,,,,,00000000000
24,0,ABRAC.NYLON 300X48,EMBAL,25.00,0.00,0.00,0,0-,0-,ABRAC.300X48,,,,,,00000000000
25,0,ABRAC.NYLON 300X48 UNIDADE,UNIDA,0.50,0.00,0.00,0,0-,0-,ABRAC.300X48 UN,,,,,,00000000000
2175,0,ABRAC.NYLON 390X48,UNID,38.00,0.00,0.00,0,0-,0-,ABRAC.N.390X48,,,,,,00000000000
2176,0,ABRAC.NYLON 390X48 UNIDADE,UNID,0.80,0.00,0.00,0,0-,0-,ABRAC.N.390X48U,,,,,,00000000000
28,0,ABRAC.NYLON 80-100X25,EMBAL,6.00,0.00,0.00,0,0-,0-,ABRAC.80-100X25,,,,,,00000000000
29,0,ABRAC.NYLON 80-100X25 UNIDADE,UNID,0.50,0.00,0.00,0,0-,0-,ABRAC.80-100X25,,,,,,00000000000
4,0,ABRAC.R.S/FIM 1.1/2X2,UNID,7.00,0.00,0.00,-6,0-,0-,ABRAC. 1.1/2X2,,,,,,00000000000
2,0,ABRAC.R.S/FIM 1/2X3/4,UNID,2.00,0.00,0.00,0,0-,0-,ABRAC. 1/2X3/4,,,,,,00000000000
1047,0,ABRAC.R.S/FIM 1X1.1/2,UNID,6.00,0.00,0.00,0,0-,0-,ABRAC. 1X1.1/2,,,,,,00000000000
5,0,ABRAC.R.S/FIM 2.1/2X3,UNID,8.00,0.00,0.00,-1,0-,0-,ABRAC. 2.1/2X3,,,,,,00000000000
6,0,ABRAC.R.S/FIM 3.1/2X4,UNID,10.00,0.00,0.00,0,0-,0-,ABRAC. 3.1/2X4,,,,,,00000000000
3,0,ABRAC.R.S/FIM 3/4X1,UNID,2.00,0.00,0.00,-3,0-,0-,ABRAC. 3/4X1,,,,,,00000000000
1,0,ABRAC.R.S/FIM 3/8X1/2,UNID,2.00,0.00,0.00,-6,0-,0-,ABRAC. 3/8X1/2,,,,,,00000000000
9,0,ABRAC.TIPO D 1,UNID,3.00,0.00,0.00,0,0-,0-,ABRAC. D 1,,,,,,00000000000
10,0,ABRAC.TIPO D 1.1/2,UNID,1.50,0.00,0.00,-1,0-,0-,ABRAC. D 1.1/2,,,,,,00000000000
7,0,ABRAC.TIPO D 1/2,UNID,4.00,0.00,0.00,0,0-,0-,ABRAC.D 1/2,,,,,,00000000000
8,0,ABRAC.TIPO D 3/4,UNID,4.00,0.00,0.00,1,0-,0-,ABRAC. D 3/4,,,,,,00000000000
13,0,ABRAC.TIPO U 1,UNID,2.00,0.00,0.00,-1,0-,0-,ABRAC. U 1,,,,,,00000000000
14,0,ABRAC.TIPO U 1.1/2,UNID,2.00,0.00,0.00,0,0-,0-,ABRAC. U 1.1/2,,,,,,00000000000
11,0,ABRAC.TIPO U 1/2,,1.00,0.00,0.00,0,0-,0-,ABRAC. U 1/2,,,,,,00000000000
15,0,ABRAC.TIPO U 2,UNID,2.00,0.00,0.00,0,0-,0-,ABRAC. U 2,,,,,,00000000000
16,0,ABRAC.TIPO U 2.1/2,UNID,3.50,0.00,0.00,0,0-,0-,ABRAC. U 2.1/2,,,,,,00000000000
17,0,ABRAC.TIPO U 3,UNID,3.50,0.00,0.00,0,0-,0-,ABRAC. U 3,,,,,,00000000000
47,0,ABRAC.TIPO U 3/4,UNID,1.00,0.00,0.00,0,0-,0-,ABRAC. U 3/4,,,,,,00000000000
18,0,ABRAC.TIPO U 4,UNID,5.00,0.00,0.00,-1,0-,0-,ABRAC. U 4,,,,,,00000000000
1049,0,ABRACADEIRA BORBOLETA,UNID,6.00,0.00,0.00,0,0-,0-,ABRAC.BORBOLETA,,,,,,00000000000
2057,0,ABRACADEIRA P/VARAL TETO,UNID,8.00,0.00,0.00,0,0-,0-,ABRAC.P/VARAL T,,,,,,00000000000
2053,0,ABRACADEIRA PVC 3/4,UNID,2.00,0.00,0.00,0,0-,0-,ABRAC.PVC 3/4,,,,,,00000000000
262,0,ACABAMENTO C50 1.1/2,UNID,40.00,0.00,0.00,0,0-,0-,ACABAM.C50 11/2,,,,,,00000000000
261,0,ACABAMENTO C50 3/4,UNID,35.00,0.00,0.00,0,0-,0-,ACABAM.C50 3/4,,,,,,00000000000
2150,0,ACABAMENTO P/ HIDRA,UNIDA,85.00,0.00,0.00,0,0-,0-,ACABAMENTO HIDR,,,,,,00000000000
2339,0,ADAP.FILTRO 1/2X6,UNID,30.00,0.00,0.00,0,0-,0-,ADAP.FILTRO 1/2,,,,,,00000000000
2340,0,ADAP.FILTRO P/TORNEIRA 1/2X6,UNID,65.00,0.00,0.00,0,0-,0-,ADAP.F.P/TORNEI,,,,,,00000000000
2231,0,ADAPTADOR DE SIFÃO,UNID,15.00,0.00,0.00,0,0-,0-,ADAPT. DE SIFAO,,,,,,00000000000
1151,0,ADAPTADOR ESPIGAO MACHO/FEMEA,UNID,23.00,0.00,0.00,0,0-,0-,A.ESP.MACHO/FEM,,,,,,00000000000
1973,0,ADAPTADOR GAS R.F.XR.GR,UNID,5.00,0.00,0.00,0,0-,0-,ADAP.GAS RFXRGR,,,,,,00000000000
1972,0,ADAPTADOR GAS R.GRXR.F.,UNID,5.00,0.00,0.00,0,0-,0-,ADAP.GAS RGRXRF,,,,,,00000000000
2088,0,ADAPTADOR GAS UNIV.R/F,UNID,38.00,0.00,0.00,0,0-,0-,ADAP.GAS UN.R/F,,,,,,00000000000
30,0,ADAPTADOR GAS UNIV.R/M,UNID,38.00,0.00,0.00,0,0-,0-,ADAP.GAS UN.R/M,,,,,,00000000000
32,0,ADAPTADOR JR 2,UNID,15.00,0.00,0.00,-1,0-,0-,ADAPTADOR JR 2,,,,,,00000000000
33,0,ADAPTADOR JR 3,UNID,26.00,0.00,0.00,-1,0-,0-,ADAPTADOR JR 3,,,,,,00000000000
34,0,ADAPTADOR JR 4,UNID,40.00,0.00,0.00,-1,0-,0-,ADAPTADOR JR 4,,,,,,00000000000
2001,0,ADAPTADOR JR 6,UNID,75.00,0.00,0.00,0,0-,0-,ADAPTADOR JR 6,,,,,,00000000000
37,0,ADAPTADOR M. 1,UNID,3.00,0.00,0.00,0,0-,0-,ADAPTADOR M. 1,,,,,,00000000000
39,0,ADAPTADOR M. 1.1/2,UNID,6.00,0.00,0.00,0,0-,0-,ADAPTADOR M11/2,,,,,,00000000000
38,0,ADAPTADOR M. 1.1/4,UNID,7.50,0.00,0.00,0,0-,0-,ADAPTADOR M11/4,,,,,,00000000000
35,0,ADAPTADOR M. 1/2,UNIDA,1.50,0.00,0.00,-11,0-,0-,ADAPTADOR M.1/2,,,,,,00000000000
40,0,ADAPTADOR M. 2,UNID,17.00,0.00,0.00,0,0-,0-,ADAPTADOR M. 2,,,,,,00000000000
36,0,ADAPTADOR M. 3/4,UNIDA,1.00,0.00,0.00,0,0-,0-,ADAPTADOR M.3/4,,,,,,00000000000
41,0,ADAPTADOR M. 40X50,UNID,15.00,0.00,0.00,0,0-,0-,ADAPTADOR 40X50,,,,,,00000000000
42,0,ADAPTADOR M. 50X40,UNID,15.00,0.00,0.00,0,0-,0-,ADAPTADOR 50X40,,,,,,00000000000
2075,0,ADAPTADOR P/DISCO BORRACHA 41/2-M5,UNID,18.00,0.00,0.00,0,0-,0-,ADAP.DISC41/2M5,,,,,,00000000000
2247,0,ADAPTADOR P/MAQ.LAVAR,UNID,40.00,0.00,0.00,0,0-,0-,ADAP.MAQ.LAVAR,,,,,,00000000000
123,0,ADAPTADOR RJ11 1FX2F,UNID,15.00,0.00,0.00,0,0-,0-,ADAP.RJ11 1FX2F,,,,,,00000000000
752,0,ADAPTADOR RJ11 1MX2F,UNID,15.00,0.00,0.00,-3,0-,0-,ADAP.RJ11 1MX2F,,,,,,00000000000
31,0,ADAPTADOR SD-PLUS,UNIDA,15.00,0.00,0.00,-3,0-,0-,ADAPT. SD-PLUS,,,,,,00000000000
1379,0,ADAPTADOR TOMADA UNIVERSAL,UNID,6.00,0.00,0.00,0,0-,0-,ADAPT.TOMADA,,,,,,00000000000
46,0,ADESIVO P/JUNTA MOTOR,UNID,15.00,0.00,0.00,0,0-,0-,ADES.JUNTA MOT.,,,,,,00000000000
1507,0,ADESIVO PVC 175G,UNID,20.00,0.00,0.00,-7,0-,0-,ADESIVO PVC 175,,,,,,00000000000
1505,0,ADESIVO PVC 17G,UNID,6.00,0.00,0.00,0,0-,0-,ADESIVO PVC 17G,,,,,,00000000000
1506,0,ADESIVO PVC 75G,UNID,11.00,0.00,0.00,-9,0-,0-,ADESIVO PVC 75G,,,,,,00000000000
890,0,ADITIVO PLAST.LIGMASSA GALAO,GALAO,60.00,0.00,0.00,0,0-,0-,ADIT.PLAST.GALA,,,,,,00000000000
60,0,ADITIVO PLAST.LIGMASSA LITRO,LITRO,25.00,0.00,0.00,-2,0-,0-,ADIT.PLAST.LITR,,,,,,00000000000
101,0,AGE MULT-INSETICIDA,UNID,45.00,0.00,0.00,0,0-,0-,AGE MULT-INSETI,,,,,,00000000000
2254,0,AGUA RAZ 450ML,UNID,18.00,0.00,0.00,0,0-,0-,AGUA RAZ 450ML,,,,,,00000000000
48,0,AGUA RAZ GALAO,UNID,120.00,0.00,0.00,0,0-,0-,AGUA RAZ GALAO,,,,,,00000000000
12,0,AGUA RAZ L.,LITRO,28.00,0.00,0.00,-32,0-,0-,AGUA RAZ L.,,,,,,00000000000
49,0,ALAVANCA 1.5M,UNID,150.00,0.00,0.00,0,0-,0-,ALAVANCA 1.5M,,,,,,00000000000
2070,0,ALAVANCA INCLINADA AF/I,UNID,38.00,0.00,0.00,0,0-,0-,ALAV.INCLI.AF/I,CAIXA ACOPLADA,,,,,00000000000
2071,0,ALAVANCA RETA AF/R,UNID,38.00,0.00,0.00,0,0-,0-,ALAV.RETA AF/R,CAIXA ACOPLADA,,,,,00000000000
58,0,ALICATE AMPERIMETRO,UNID,110.00,0.00,0.00,-2,0-,0-,ALICATE AMPERIM,,,,,,00000000000
50,0,ALICATE BOMBA DAGUA,UNID,36.00,0.00,0.00,0,0-,0-,ALICATE B.DAGUA,,,,,,00000000000
53,0,ALICATE DE BICO,UNID,45.00,0.00,0.00,0,0-,0-,ALICATE DE BICO,,,,,,00000000000
54,0,ALICATE DE CORTE,UNID,48.00,0.00,0.00,0,0-,0-,ALICATE CORTE,,,,,,00000000000
57,0,ALICATE DE CRIMPAR,UNID,60.00,0.00,0.00,-28,0-,0-,ALICATE CRIMPAR,,,,,,00000000000
55,0,ALICATE DE PRESSAO,UNID,60.00,0.00,0.00,0,0-,0-,ALICATE PRESSAO,,,,,,00000000000
2036,0,ALICATE DESC.FIO COAXIAL,UNID,20.00,0.00,0.00,-2,0-,0-,ALIC.DESC.FIO C,,,,,,00000000000
56,0,ALICATE DESC.FIOS,UNID,15.00,0.00,0.00,0,0-,0-,ALICATE DES.FIO,,,,,,00000000000
1105,0,ALICATE P/NIVELAR PISO,UNID,80.00,0.00,0.00,0,0-,0-,ALICAT.NIV.PISO,,,,,,00000000000
59,0,ALICATE REBITADOR,UNID,35.00,0.00,0.00,0,0-,0-,ALICATE REBITAD,,,,,,00000000000
52,0,ALICATE UNIVERSAL,UNID,55.00,0.00,0.00,0,0-,0-,ALICATE UNIVER.,,,,,,00000000000
1959,0,ANCINHO,UNID,30.00,0.00,0.00,0,0-,0-,ANCINHO,,,,,,00000000000
2018,0,ANEL DE CERA C/GUIA,UNID,15.00,0.00,0.00,0,0-,0-,ANEL CERA C/G,,,,,,00000000000
65,0,ANEL ESG.100,UNID,2.50,0.00,0.00,0,0-,0-,ANEL ESG.100,,,,,,00000000000
66,0,ANEL ESG.150,UNID,13.00,0.00,0.00,0,0-,0-,ANEL ESG.150,,,,,,00000000000
62,0,ANEL ESG.40,UNID,2.00,0.00,0.00,-1,0-,0-,ANEL ESG.40,,,,,,00000000000
910,0,ANEL ESG.50,UNID,1.50,0.00,0.00,0,0-,0-,ANEL ESG.50,,,,,,00000000000
911,0,ANEL ESG.75,UNID,2.50,0.00,0.00,0,0-,0-,ANEL ESG.75,,,,,,00000000000
67,0,ANEL HL 2,UNID,5.00,0.00,0.00,0,0-,0-,ANEL HL 2,,,,,,00000000000
68,0,ANEL HL 3,UNID,6.00,0.00,0.00,0,0-,0-,ANEL HL 3,,,,,,00000000000
69,0,ANEL HL 4,UNID,7.00,0.00,0.00,0,0-,0-,ANEL HL 4,,,,,,00000000000
76,0,ANEL JR 2,UNID,20.00,0.00,0.00,-1,0-,0-,ANEL JR 2,,,,,,00000000000
77,0,ANEL JR 3,UNID,25.00,0.00,0.00,-1,0-,0-,ANEL JR 3,,,,,,00000000000
78,0,ANEL JR 4,UNID,30.00,0.00,0.00,0,0-,0-,ANEL JR 4,,,,,,00000000000
2002,0,ANEL JR 6,UNID,75.00,0.00,0.00,0,0-,0-,ANEL JR 6,,,,,,00000000000
74,0,ANTENA INTERNA DIGITAL,UNID,35.00,0.00,0.00,-1,0-,0-,ANTENA INT.DIG.,,,,,,00000000000
79,0,ANTI-ESPUMA 10,UNID,30.00,0.00,0.00,-1,0-,0-,ANTI-ESPUMA 10,,,,,,00000000000
80,0,ANTI-ESPUMA 15,UNID,38.00,0.00,0.00,-1,0-,0-,ANTI-ESPUMA 15,,,,,,00000000000
1484,0,ANTIFOLHA PARA CALHA,UNID,8.00,0.00,0.00,-11,0-,0-,ANTIFOLHA P/CAL,,,,,,00000000000
81,0,APLICADOR PLASTICO,UNID,5.00,0.00,0.00,-11,0-,0-,APLICADOR PLAST,,,,,,00000000000
1381,0,APLICADOR SILICONE,UNID,25.00,0.00,0.00,-61,0-,0-,APLIC.SILICONE,,,,,,00000000000
82,0,AQUECEDOR FAME,UNID,260.00,0.00,0.00,0,0-,0-,AQUECEDOR FAME,,,,,,00000000000
83,0,AQUECEDOR LORENETTI,UNID,420.00,0.00,0.00,0,0-,0-,AQUECEDOR LOREN,,,,,,00000000000
1028,0,AQUELLA SILICONE,UNID,163.00,0.00,0.00,0,0-,0-,AQUELLA SILICON,,,,,,00000000000
85,0,ARAME FARPADO,UNID,70.00,0.00,0.00,0,0-,0-,ARAME FARPADO,,,,,,00000000000
87,0,ARAME GALVANIZADO 12,UNID,40.00,0.00,0.00,0,0-,0-,ARAME GALV.12,,,,,,00000000000
88,0,ARAME GALVANIZADO 14,UNID,40.00,0.00,0.00,0,0-,0-,ARAME GALV.14,,,,,,00000000000
89,0,ARAME GALVANIZADO 16,UNID,40.00,0.00,0.00,0,0-,0-,ARAME GALV.16,,,,,,00000000000
90,0,ARAME GALVANIZADO 18,UNID,40.00,0.00,0.00,0,0-,0-,ARAME GALV.18,,,,,,00000000000
91,0,ARAME GALVANIZADO 20,UNID,40.00,0.00,0.00,0,0-,0-,ARAME GALV.20,,,,,,00000000000
92,0,ARAME GALVANIZADO 22,UNID,40.00,0.00,0.00,0,0-,0-,ARAME GALV.22,,,,,,00000000000
93,0,ARAME RECOZIDO SIMPLES,UNID,25.00,0.00,0.00,-1,0-,0-,ARAME RECOZIDO,,,,,,00000000000
94,0,ARAME RECOZIDO TORCIDO,UNID,25.00,0.00,0.00,-3,0-,0-,ARAME R.TORCIDO,,,,,,00000000000
95,0,ARAME ROLINHO,UNID,7.00,0.00,0.00,-1,0-,0-,ARAME ROLINHO,,,,,,00000000000
98,0,ARCO DE SERRA,UNID,25.00,0.00,0.00,0,0-,0-,ARCO DE SERRA,,,,,,00000000000
96,0,ARCO DE SERRA MINI,UNID,20.00,0.00,0.00,-1,0-,0-,ARCO SERRA MINI,,,,,,00000000000
97,0,ARCO DE SERRA STARRET,UNID,58.00,0.00,0.00,0,0-,0-,ARCO S. STARRET,,,,,,00000000000
20,0,AREIA ENSACADA 20 K,UNID,6.00,0.00,0.00,-2668,0-,0-,AREIA ENSAC.20K,,,,,,00000000000
21,0,AREIA ENSACADA FINA 20K,UNID,6.50,0.00,0.00,0,0-,0-,AREIA FINA 20K,,,,,,00000000000
2030,0,AREJADOR P/TORNEIRA,UNID,15.00,0.00,0.00,0,0-,0-,AREJADOR TORNEI,,,,,,00000000000
71,0,ARGAMASSA AC-I INTERNA,SACO,23.00,0.00,0.00,-58,0-,0-,ARGAMASSA AC-1,,,,,,00000000000
72,0,ARGAMASSA AC-II EXTERNA,SACO,38.00,0.00,0.00,0,0-,0-,ARGAMASSA ACII,,,,,,00000000000
70,0,ARGAMASSA AC-III BRANCA,SACO,55.00,0.00,0.00,-7,0-,0-,ARGA ACIII BRAN,,,,,,00000000000
73,0,ARGAMASSA AC-III CINZA,SACO,55.00,0.00,0.00,-22,0-,0-,ARGA ACIII CINZ,,,,,,00000000000
2318,0,ARGAMASSA AC-III PAST/MOSAICO,SACO,200.00,0.00,0.00,0,0-,0-,ARGA ACIII PAST,,,,,,00000000000
1974,0,ARGAMASSA ACI P/KILO,QUILO,2.00,0.00,0.00,0,0-,0-,ARGAMASSA P/K.,,,,,,00000000000
99,0,ARGILA EXPANDIDA-CINASITA,SACO,60.00,0.00,0.00,0,0-,0-,ARGILA EXPANDID,,,,,,00000000000
2044,0,ARMACAO PRESBOL C/1,UNID,20.00,0.00,0.00,0,0-,0-,ARMACAO PRESBOL,,,,,,00000000000
107,0,ARRUELA LISA 1/2,UNID,0.80,0.00,0.00,0,0-,0-,ARRUELA L.1/2,,,,,,00000000000
104,0,ARRUELA LISA 1/4,UNID,0.20,0.00,0.00,0,0-,0-,ARRUELA L.1/4,,,,,,00000000000
102,0,ARRUELA LISA 1/8,UNID,0.10,0.00,0.00,-5,0-,0-,ARRUELA L.1/8,,,,,,00000000000
103,0,ARRUELA LISA 3/16,UNID,0.10,0.00,0.00,0,0-,0-,ARRUELA L.3/16,,,,,,00000000000
106,0,ARRUELA LISA 3/8,UNID,0.20,0.00,0.00,-1,0-,0-,ARRUELA L.3/8,,,,,,00000000000
105,0,ARRUELA LISA 5/16,UNID,0.20,0.00,0.00,0,0-,0-,ARRUELA L.5/16,,,,,,00000000000
2194,0,ARRUELA P/CONDUITE,UNID,0.00,0.00,0.00,0,0-,0-,ARRUELA P/CONDU,,,,,,00000000000
109,0,ASSENTO SANIT.ALMOFADADO,UNID,120.00,0.00,0.00,0,0-,0-,ASSENTO ALMOFAD,,,,,,00000000000
108,0,ASSENTO SANIT.SIMPLES,UNID,40.00,0.00,0.00,0,0-,0-,ASSENTO SIMPLES,,,,,,00000000000
1496,0,ASSENTO SANITARIO ALMOFADADO SLIN,UNID,90.00,0.00,0.00,0,0-,0-,ASSENTO ALM.SLN,,,,,,00000000000
1454,0,AUMENTO CROM.1/2 CURTO,UNID,10.00,0.00,0.00,-8,0-,0-,AUM.CROM.1/2 CU,,,,,,00000000000
1456,0,AUMENTO CROM.1/2 LONGO,UNID,15.00,0.00,0.00,-2,0-,0-,AUM.CROM.1/2 LO,,,,,,00000000000
1455,0,AUMENTO CROM.1/2 MEDIO,UNID,12.00,0.00,0.00,-3,0-,0-,AUM.CROM.1/2 ME,,,,,,00000000000
1460,0,AUMENTO CROM.3/4 CURTO,UNID,7.00,0.00,0.00,0,0-,0-,AUM.CROM.3/4 CU,,,,,,00000000000
1462,0,AUMENTO CROM.3/4 LONGO,UNID,9.00,0.00,0.00,0,0-,0-,AUM.CROM.3/4 LO,,,,,,00000000000
1461,0,AUMENTO CROM.3/4 MEDIO,UNID,8.00,0.00,0.00,0,0-,0-,AUM.CROM.3/4 ME,,,,,,00000000000
1451,0,AUMENTO LATAO 1/2 CURTO,UNID,12.00,0.00,0.00,-2,0-,0-,AUMENTO 1/2 CUR,,,,,,00000000000
1453,0,AUMENTO LATAO 1/2 LONGO,UNID,15.00,0.00,0.00,0,0-,0-,AUMENTO 1/2 LON,,,,,,00000000000
1452,0,AUMENTO LATAO 1/2 MEDIO,UNID,15.00,0.00,0.00,-4,0-,0-,AUMENTO 1/2 MED,,,,,,00000000000
